,Unnamed: 0,signature size,amount of conditonals,index ckb,index query,compile time ckb (ms),compile time query (ms),solve time query (ms),result c representation,result system z,result system p
21236,21236,90,90,62,16,108985.78918760938,9058.369140625,82564.584223,unsat,True,False
15806,15806,60,60,90,7,43804.2532013125,3851.60888671875,82557.999754,unsat,True,False
23549,23549,100,100,78,9,73343.52648298438,1514.357177734375,82051.866308,unsat,True,False
18763,18763,80,80,38,4,113293.51162292188,216.197509765625,81811.006377,unsat,True,False
22690,22690,100,100,35,10,67491.9501546875,851.057373046875,80650.065551,sat,False,False
23021,23021,100,100,52,1,64802.47251317187,351.77587890625,79793.210315,sat,False,False
16362,16362,70,70,18,3,58364.90614904688,781.4013671875,79613.908772,unsat,True,False
16378,16378,70,70,18,19,58364.90614904688,421.384521484375,78903.427748,sat,False,False
18777,18777,80,80,38,18,113293.51162292188,7313.075439453125,78857.399045,unsat,True,False
18544,18544,80,80,27,5,58176.24490814062,499.3662109375,78689.077159,unsat,True,False
17933,17933,70,70,96,14,134055.86528284376,342.418701171875,76664.279851,unsat,True,False
18230,18230,80,80,11,11,35877.28513214063,4796.537109375,74471.710831,sat,False,False
16122,16122,70,70,6,3,21361.580732453123,829.485107421875,73719.355259,sat,False,False
18765,18765,80,80,38,6,113293.51162292188,5825.9169921875,72490.081183,unsat,True,False
23557,23557,100,100,78,17,73343.52648298438,4277.00830078125,71474.860116,sat,False,False
23541,23541,100,100,78,1,73343.52648298438,2359.332275390625,70976.356702,unsat,True,False
20924,20924,90,90,47,4,99079.34025745312,97.60205078125,69404.8584,unsat,True,False
23905,23905,100,100,96,5,78889.51592070312,11427.754150390623,69108.2681,unsat,False,False
19513,19513,80,80,75,14,87063.69877489062,152.91064453125,68806.311,sat,False,False
23554,23554,100,100,78,14,73343.52648298438,47905.58837890625,67975.579428,sat,False,False
22694,22694,100,100,35,14,67491.9501546875,8706.329345703125,67161.0023,sat,False,False
22719,22719,100,100,36,19,92985.79928525,23520.899658203125,67159.838448,sat,False,False
22681,22681,100,100,35,1,67491.9501546875,796.640625,66521.1144,sat,False,False
