,index,result,preprocessing_time,inference_time,translation_time,preprocessing_timeout,inference_timeout,belief_base,queries,query,inference_system,solver,optimizer
2961,6.0,False,0.0,1188.7,0.5,False,False,randomTest_100_120_1,,"(((!cjytwe);(rvgvhh,qmzrlt))|((!iztkme),((tdlbbp,(jlflor;(!ymfpfr)));(!swkuoz))))",c-inference,z3,rc2
3097,2.0,False,0.0,1169.4,0.7,False,False,randomTest_100_120_24,,"((ahromx,(!bnxuep))|(kgvyta,(!bakprh)))",c-inference,z3,rc2
3173,3.0,False,0.0,1148.8000000000002,0.6,False,False,randomTest_100_120_36,,"((zcuiyq;((falxxv,iqbguq);(!(yyoycr,gjipwq))))|(vllaqh,axtshu))",c-inference,z3,rc2
3141,4.0,False,0.0,1123.1,0.5,False,False,randomTest_100_120_30,,"(((vuoftr,fltaws),(!(((!zzxvmz);(yylkgx,axlbfy));(!mkozxq))))|(pnkzfe,(!oypltc)))",c-inference,z3,rc2
3361,9.0,True,0.0,978.5,0.6,False,False,randomTest_100_120_74,,"((qekrke;(!(hugzrk,jdsirw)))|qjdohy)",c-inference,z3,rc2
3461,7.0,False,0.0,883.0,0.5,False,False,randomTest_100_120_86,,"(sjocro|(quzvak,(cqvego;(rgodvv,oxwppn))))",c-inference,z3,rc2
3122,5.0,False,0.0,858.0,0.4,False,False,randomTest_100_120_28,,"((kmstec,(oggdkk,cprzhm))|(astpao;zyozru))",c-inference,z3,rc2
3284,8.0,False,0.0,831.7,0.4,False,False,randomTest_100_120_61,,"((civfzq,frfwdq)|((!((!dwwbfr),(!mwkpfp))),(!(vvuehz;(lnmtlz;hzuyok)))))",c-inference,z3,rc2
3056,5.0,False,0.0,819.8000000000001,0.4,False,False,randomTest_100_120_16,,"(((((prtduu,ynjnit),xtbqii);rdhbbm),(!(thjtzh;eavdok)))|gtkupa)",c-inference,z3,rc2
3522,5.0,True,0.0,807.8,0.6,False,False,randomTest_100_120_95,,"(((!wngxia);((dhokfb,vfyxwh);evcqna))|((!(xdoglp;(!(tpzldn;(!uamqhl)))));(!(!(!dvcbwo)))))",c-inference,z3,rc2
